id,full text
nf105.jpg,
nf131.jpg,
nf157.jpg,TRITIONALINFORMATION(ApproximateValues)'SaturatedFatiTransFat01g
nf37.jpg,NUTRITIONALFACTSPER100mt(APPROUMATE)Energy53kcalProtein0.29Carbohydrate13.49NaturalFruitSugots69AddedSugor1.49fat09Calum7mgiron0.25mgVitamin¢18mg
nf47.jpg,NutritionFacts4ingspercontainerServiSi.2PiecTotatFat12915%SaturatedFat1gS%TransFatOgCholesterolOmgSodium330mgTotalCarbohydrate2198%DietaryFiber3g*99%TotalSugarsOgincludesOgAddedSugarso%a_.o%=o—_Ox=(0.979)aCalcium@Bmg)2%Potassium(182mq)4°
nf54.jpg,
nf65.jpg,Nutritional*InformationPer100gServingSize:9gServingperpackn:]Per1009PerservingEnergy406.6kcal365.9kcalFat1.59139CarbohydrateB9.11g“80.199OietaryFiber39193509Protein76968g
nf79.jpg,NUTRITIONFACTS.NTE
nf80.jpg,*NutritionalInformationper1009product(approx.)Transfattyacidsnotmorethan0.29Saturatedfattyacsnolmorethaa1449
nf90.jpg,NutritionFactsServingSize:2Cookies(Approx20g)ServingsPerPack:About7-8eeAmountperServingEnergyVaiueTotalFatSaturatedFatMonoUnsaturatedFat0.99PolyUnsaturatedFat0.159TransfatosTotalMineralContentO49Calcium300mgCarbohydrates99TotalSugara9O1whichAddedRefinedWhiteSugareosProtein2.49
nf97.jpg,NUTRITIONFACTS(Approx.per100g)*Calories357KealCaloriesfromFat117Keal%atyYatue*TotalFat13g52%SaturatedFat5.369MonounsaturatedFat4.659PolyUnsaturatedFat1.989‘TransFat0gCholesterol65mgSodium147mg‘TotalCarbohydrateS791%DietaryFibre19Sugars469Protein3g5%VilaminA488IUVitaminC3mgCalcium19mgIron0.3mg
